altitude,temperature,pressure,density,speed_of_sound,viscosity
[m],[Kelvin],[pascal],[kg/m3],[m/s],[Pa.s]
393,285.595,96692,1.17944,338.782,1.80E-05
394,285.589,96680.5,1.17933,338.778,1.80E-05
395,285.582,96668.9,1.17922,338.775,1.80E-05
396,285.576,96657.4,1.1791,338.771,1.80E-05
397,285.57,96645.8,1.17899,338.767,1.80E-05
398,285.563,96634.2,1.17887,338.763,1.80E-05
399,285.556,96622.7,1.17876,338.759,1.80E-05
400,285.55,96611.1,1.17864,338.755,1.80E-05
401,285.543,96599.6,1.17853,338.751,1.80E-05
402,285.537,96588,1.17842,338.748,1.80E-05
403,285.53,96576.4,1.1783,338.744,1.80E-05
404,285.524,96564.9,1.17819,338.74,1.80E-05
405,285.517,96553.3,1.17807,338.736,1.80E-05
406,285.511,96541.8,1.17796,338.732,1.80E-05
407,285.504,96530.2,1.17785,338.728,1.80E-05
408,285.498,96518.7,1.17773,338.724,1.80E-05
409,285.491,96507.1,1.17762,338.721,1.80E-05
410,285.485,96495.6,1.1775,338.717,1.80E-05
411,285.478,96484,1.17739,338.713,1.80E-05
412,285.472,96472.5,1.17728,338.709,1.80E-05
413,285.465,96460.9,1.17716,338.705,1.80E-05
414,285.459,96449.4,1.17705,338.701,1.80E-05
415,285.452,96437.9,1.17693,338.697,1.80E-05
416,285.446,96426.3,1.17682,338.694,1.80E-05
417,285.439,96414.8,1.17671,338.69,1.80E-05
418,285.433,96403.2,1.17659,338.686,1.80E-05
419,285.426,96391.7,1.17648,338.682,1.80E-05
420,285.42,96380.2,1.17636,338.678,1.80E-05
421,285.413,96368.6,1.17625,338.674,1.80E-05
422,285.407,96357.1,1.17613,338.671,1.80E-05
423,285.4,96345.6,1.17602,338.667,0.000017983
424,285.394,96334,1.17591,338.663,1.80E-05
425,285.387,96322.5,1.17579,338.659,1.80E-05
426,285.381,96311,1.17568,338.655,0.000017982
427,285.374,96299.4,1.17557,338.651,1.80E-05
428,285.368,96287.9,1.17545,338.647,1.80E-05
429,285.361,96276.4,1.17534,338.644,0.000017981
430,285.355,96264.9,1.17522,338.64,1.80E-05
431,285.349,96253.3,1.17511,338.636,1.80E-05
432,285.342,96241.8,1.175,338.632,0.00001798
433,285.335,96230.3,1.17488,338.628,1.80E-05
434,285.329,96218.8,1.17477,338.624,1.80E-05
435,285.322,96207.2,1.17465,338.62,1.80E-05
436,285.316,96195.7,1.17454,338.617,1.80E-05
437,285.309,96184.2,1.17443,338.613,1.80E-05
438,285.303,96172.7,1.17431,338.609,1.80E-05
439,285.296,96161.2,1.1742,338.605,1.80E-05
440,285.29,96149.7,1.17408,338.601,1.80E-05
441,285.284,96138.1,1.17397,338.597,1.80E-05
442,285.277,96126.6,1.17386,338.593,1.80E-05
443,285.27,96115.1,1.17374,338.59,1.80E-05
444,285.264,96103.6,1.17363,338.586,1.80E-05
445,285.257,96092.1,1.17352,338.582,1.80E-05
446,285.251,96080.6,1.1734,338.578,1.80E-05
447,285.244,96069.1,1.17329,338.574,1.80E-05
448,285.238,96057.6,1.17317,338.57,1.80E-05
